quarter,team,sales
Q2-2078,Marketing,2430000
Q2-2078,Sales,2560000
Q2-2078,Engineering,2330000
Q2-2078,Customer Support,1160000
Q3-2078,Marketing,2440000
Q3-2078,Sales,2570000
Q3-2078,Engineering,2340000
Q3-2078,Customer Support,1165000
Q4-2078,Marketing,2450000
Q4-2078,Sales,2580000
Q4-2078,Engineering,2350000
Q4-2078,Customer Support,1170000
Q1-2079,Marketing,2460000
Q1-2079,Sales,2590000
Q1-2079,Engineering,2360000
Q1-2079,Customer Support,1175000
Q2-2079,Marketing,2470000
Q2-2079,Sales,2600000
Q2-2079,Engineering,2370000
Q2-2079,Customer Support,1180000
Q3-2079,Marketing,2480000
Q3-2079,Sales,2610000
Q3-2079,Engineering,2380000
Q3-2079,Customer Support,1185000
Q4-2079,Marketing,2490000
Q4-2079,Sales,2620000
Q4-2079,Engineering,2390000
Q4-2079,Customer Support,1190000
Q1-2080,Marketing,2500000
Q1-2080,Sales,2630000
Q1-2080,Engineering,2400000
Q1-2080,Customer Support,1195000
Q2-2080,Marketing,2510000
Q2-2080,Sales,2640000
Q2-2080,Engineering,2410000
Q2-2080,Customer Support,1200000
Q3-2080,Marketing,2520000
Q3-2080,Sales,2650000
Q3-2080,Engineering,2420000
Q3-2080,Customer Support,1205000
Q4-2080,Marketing,2530000
Q4-2080,Sales,2660000
Q4-2080,Engineering,2430000
Q4-2080,Customer Support,1210000
Q1-2081,Marketing,2540000
Q1-2081,Sales,2670000
Q1-2081,Engineering,2440000
Q1-2081,Customer Support,1215000
Q2-2081,Marketing,2550000
Q2-2081,Sales,2680000
Q2-2081,Engineering,2450000
Q2-2081,Customer Support,1220000
Q3-2081,Marketing,2560000
Q3-2081,Sales,2690000
Q3-2081,Engineering,2460000
Q3-2081,Customer Support,1225000
Q4-2081,Marketing,2570000
Q4-2081,Sales,2700000
Q4-2081,Engineering,2470000
Q4-2081,Customer Support,1230000
Q1-2082,Marketing,2580000
Q1-2082,Sales,2710000
Q1-2082,Engineering,2480000
Q1-2082,Customer Support,1235000
Q2-2082,Marketing,2590000
Q2-2082,Sales,2720000
Q2-2082,Engineering,2490000
Q2-2082,Customer Support,1240000
Q3-2082,Marketing,2600000
Q3-2082,Sales,2730000
Q3-2082,Engineering,2500000
Q3-2082,Customer Support,1245000
Q4-2082,Marketing,2610000
Q4-2082,Sales,2740000
Q4-2082,Engineering,2510000
Q4-2082,Customer Support,1250000
Q1-2083,Marketing,2620000
Q1-2083,Sales,2750000
Q1-2083,Engineering,2520000
Q1-2083,Customer Support,1255000
Q2-2083,Marketing,2630000
Q2-2083,Sales,2760000
Q2-2083,Engineering,2530000
Q2-2083,Customer Support,1260000
Q3-2083,Marketing,2640000
Q3-2083,Sales,2770000
Q3-2083,Engineering,2540000
Q3-2083,Customer Support,1265000
Q4-2083,Marketing,2650000
Q4-2083,Sales,2780000
Q4-2083,Engineering,2550000
Q4-2083,Customer Support,1270000
Q1-2084,Marketing,2660000
Q1-2084,Sales,2790000
Q1-2084,Engineering,2560000
Q1-2084,Customer Support,1275000
Q2-2084,Marketing,2670000
Q2-2084,Sales,2800000
Q2-2084,Engineering,2570000
Q2-2084,Customer Support,1280000
Q3-2084,Marketing,2680000
Q3-2084,Sales,2810000
Q3-2084,Engineering,2580000
Q3-2084,Customer Support,1285000
Q4-2084,Marketing,2690000
Q4-2084,Sales,2820000
Q4-2084,Engineering,2590000
Q4-2084,Customer Support,1290000
Q1-2085,Marketing,2700000
Q1-2085,Sales,2830000
Q1-2085,Engineering,2600000
Q1-2085,Customer Support,1295000
Q2-2085,Marketing,2710000
Q2-2085,Sales,2840000
Q2-2085,Engineering,2610000
Q2-2085,Customer Support,1300000
Q3-2085,Marketing,2720000
Q3-2085,Sales,2850000
Q3-2085,Engineering,2620000
Q3-2085,Customer Support,1305000
Q4-2085,Marketing,2730000
Q4-2085,Sales,2860000
Q4-2085,Engineering,2630000
Q4-2085,Customer Support,1310000
Q1-2086,Marketing,2740000
Q1-2086,Sales,2870000
Q1-2086,Engineering,2640000
Q1-2086,Customer Support,1315000
Q2-2086,Marketing,2750000
Q2-2086,Sales,2880000
Q2-2086,Engineering,2650000
Q2-2086,Customer Support,1320000
Q3-2086,Marketing,2760000
Q3-2086,Sales,2890000
Q3-2086,Engineering,2660000
Q3-2086,Customer Support,1325000
Q4-2086,Marketing,2770000
Q4-2086,Sales,2900000
Q4-2086,Engineering,2670000
Q4-2086,Customer Support,1330000
Q1-2087,Marketing,2780000
Q1-2087,Sales,2910000
Q1-2087,Engineering,2680000
Q1-2087,Customer Support,1335000
Q2-2087,Marketing,2790000
Q2-2087,Sales,2920000
Q2-2087,Engineering,2690000
Q2-2087,Customer Support,1340000
Q3-2087,Marketing,2800000
Q3-2087,Sales,2930000
Q3-2087,Engineering,2700000
Q3-2087,Customer Support,1345000
Q4-2087,Marketing,2810000
Q4-2087,Sales,2940000
Q4-2087,Engineering,2710000
Q4-2087,Customer Support,1350000
Q1-2088,Marketing,2820000
Q1-2088,Sales,2950000
Q1-2088,Engineering,2720000
Q1-2088,Customer Support,1355000
Q2-2088,Marketing,2830000
Q2-2088,Sales,2960000
Q2-2088,Engineering,2730000
Q2-2088,Customer Support,1360000
Q3-2088,Marketing,2840000
Q3-2088,Sales,2970000
Q3-2088,Engineering,2740000
Q3-2088,Customer Support,1365000
Q4-2088,Marketing,2850000
Q4-2088,Sales,2980000
Q4-2088,Engineering,2750000
Q4-2088,Customer Support,1370000
Q1-2089,Marketing,2860000
Q1-2089,Sales,2990000
Q1-2089,Engineering,2760000
Q1-2089,Customer Support,1375000
Q2-2089,Marketing,2870000
Q2-2089,Sales,3000000
Q2-2089,Engineering,2770000
Q2-2089,Customer Support,1380000
Q3-2089,Marketing,2880000
Q3-2089,Sales,3010000
Q3-2089,Engineering,2780000
Q3-2089,Customer Support,1385000
Q4-2089,Marketing,2890000
Q4-2089,Sales,3020000
Q4-2089,Engineering,2790000
Q4-2089,Customer Support,1390000
Q1-2090,Marketing,2900000
Q1-2090,Sales,3030000
Q1-2090,Engineering,2800000
Q1-2090,Customer Support,1395000
Q2-2090,Marketing,2910000
Q2-2090,Sales,3040000
Q2-2090,Engineering,2810000
Q2-2090,Customer Support,1400000
Q3-2090,Marketing,2920000
Q3-2090,Sales,3050000
Q3-2090,Engineering,2820000
Q3-2090,Customer Support,1405000
Q4-2090,Marketing,2930000
Q4-2090,Sales,3060000
Q4-2090,Engineering,2830000
Q4-2090,Customer Support,1410000
Q1-2091,Marketing,2940000
Q1-2091,Sales,3070000
Q1-2091,Engineering,2840000
Q1-2091,Customer Support,1415000
Q2-2091,Marketing,2950000
Q2-2091,Sales,3080000
Q2-2091,Engineering,2850000
Q2-2091,Customer Support,1420000
Q3-2091,Marketing,2960000
Q3-2091,Sales,3090000
Q3-2091,Engineering,2860000
Q3-2091,Customer Support,1425000
Q4-2091,Marketing,2970000
Q4-2091,Sales,3100000
Q4-2091,Engineering,2870000
Q4-2091,Customer Support,1430000
Q1-2092,Marketing,2980000
Q1-2092,Sales,3110000
Q1-2092,Engineering,2880000
Q1-2092,Customer Support,1435000
Q2-2092,Marketing,2990000
Q2-2092,Sales,3120000
Q2-2092,Engineering,2890000
Q2-2092,Customer Support,1440000
Q3-2092,Marketing,3000000
Q3-2092,Sales,3130000
Q3-2092,Engineering,2900000
Q3-2092,Customer Support,1445000
Q4-2092,Marketing,3010000
Q4-2092,Sales,3140000
Q4-2092,Engineering,2910000
Q4-2092,Customer Support,1450000
Q1-2093,Marketing,3020000
Q1-2093,Sales,3150000
Q1-2093,Engineering,2920000
Q1-2093,Customer Support,1455000
Q2-2093,Marketing,3030000
Q2-2093,Sales,3160000
Q2-2093,Engineering,2930000
Q2-2093,Customer Support,1460000
Q3-2093,Marketing,3040000
Q3-2093,Sales,3170000
Q3-2093,Engineering,2940000
Q3-2093,Customer Support,1465000
Q4-2093,Marketing,3050000
Q4-2093,Sales,3180000
Q4-2093,Engineering,2950000
Q4-2093,Customer Support,1470000
Q1-2094,Marketing,3060000
Q1-2094,Sales,3190000
Q1-2094,Engineering,2960000
Q1-2094,Customer Support,1475000
Q2-2094,Marketing,3070000
Q2-2094,Sales,3200000
Q2-2094,Engineering,2970000
Q2-2094,Customer Support,1480000
Q3-2094,Marketing,3080000
Q3-2094,Sales,3210000
Q3-2094,Engineering,2980000
Q3-2094,Customer Support,1485000
Q4-2094,Marketing,3090000
Q4-2094,Sales,3220000
Q4-2094,Engineering,2990000
Q4-2094,Customer Support,1490000
Q1-2095,Marketing,3100000
Q1-2095,Sales,3230000
Q1-2095,Engineering,3000000
Q1-2095,Customer Support,1495000
Q2-2095,Marketing,3110000
Q2-2095,Sales,3240000
Q2-2095,Engineering,3010000
Q2-2095,Customer Support,1500000
Q3-2095,Marketing,3120000
Q3-2095,Sales,3250000
Q3-2095,Engineering,3020000
Q3-2095,Customer Support,1505000
Q4-2095,Marketing,3130000
Q4-2095,Sales,3260000
Q4-2095,Engineering,3030000
Q4-2095,Customer Support,1510000
Q1-2096,Marketing,3140000
Q1-2096,Sales,3270000
Q1-2096,Engineering,3040000
Q1-2096,Customer Support,1515000
Q2-2096,Marketing,3150000
Q2-2096,Sales,3280000
Q2-2096,Engineering,3050000
Q2-2096,Customer Support,1520000
Q3-2096,Marketing,3160000
Q3-2096,Sales,3290000
Q3-2096,Engineering,3060000
Q3-2096,Customer Support,1525000
Q4-2096,Marketing,3170000
Q4-2096,Sales,3300000
Q4-2096,Engineering,3070000
Q4-2096,Customer Support,1530000
Q1-2097,Marketing,3180000
Q1-2097,Sales,3310000
Q1-2097,Engineering,3080000
Q1-2097,Customer Support,1535000
Q2-2097,Marketing,3190000
Q2-2097,Sales,3320000
Q2-2097,Engineering,3090000
Q2-2097,Customer Support,1540000
Q3-2097,Marketing,3200000
Q3-2097,Sales,3330000
Q3-2097,Engineering,3100000
Q3-2097,Customer Support,1545000
Q4-2097,Marketing,3210000
Q4-2097,Sales,3340000
Q4-2097,Engineering,3110000
Q4-2097,Customer Support,1550000
Q1-2098,Marketing,3220000
Q1-2098,Sales,3350000
Q1-2098,Engineering,3120000
Q1-2098,Customer Support,1555000
Q2-2098,Marketing,3230000
Q2-2098,Sales,3360000
Q2-2098,Engineering,3130000
Q2-2098,Customer Support,1560000
Q3-2098,Marketing,3240000
Q3-2098,Sales,3370000
Q3-2098,Engineering,3140000
Q3-2098,Customer Support,1565000
Q4-2098,Marketing,3250000
Q4-2098,Sales,3380000
Q4-2098,Engineering,3150000
Q4-2098,Customer Support,1570000
Q1-2099,Marketing,3260000
Q1-2099,Sales,3390000
Q1-2099,Engineering,3160000
Q1-2099,Customer Support,1575000
Q2-2099,Marketing,3270000
Q2-2099,Sales,3400000
Q2-2099,Engineering,3170000
Q2-2099,Customer Support,1580000
Q3-2099,Marketing,3280000
Q3-2099,Sales,3410000
Q3-2099,Engineering,3180000
Q3-2099,Customer Support,1585000
Q4-2099,Marketing,3290000
Q4-2099,Sales,3420000
Q4-2099,Engineering,3190000
Q4-2099,Customer Support,1590000
Q1-2100,Marketing,3300000
Q1-2100,Sales,3430000
Q1-2100,Engineering,3200000
Q1-2100,Customer Support,1595000
Q2-2100,Marketing,3310000
Q2-2100,Sales,3440000
Q2-2100,Engineering,3210000
Q2-2100,Customer Support,1600000
Q3-2100,Marketing,3320000
Q3-2100,Sales,3450000
Q3-2100,Engineering,3220000
Q3-2100,Customer Support,1605000
Q4-2100,Marketing,3330000
Q4-2100,Sales,3460000
Q4-2100,Engineering,3230000
Q4-2100,Customer Support,1610000
Q1-2101,Marketing,3340000
Q1-2101,Sales,3470000
Q1-2101,Engineering,3240000
Q1-2101,Customer Support,1615000
Q2-2101,Marketing,3350000
Q2-2101,Sales,3480000
Q2-2101,Engineering,3250000
Q2-2101,Customer Support,1620000
Q3-2101,Marketing,3360000
Q3-2101,Sales,3490000
Q3-2101,Engineering,3260000
Q3-2101,Customer Support,1625000
Q4-2101,Marketing,3370000
Q4-2101,Sales,3500000
Q4-2101,Engineering,3270000
Q4-2101,Customer Support,1630000
Q1-2102,Marketing,3380000
Q1-2102,Sales,3510000
Q1-2102,Engineering,3280000
Q1-2102,Customer Support,1635000
Q2-2102,Marketing,3390000
Q2-2102,Sales,3520000
Q2-2102,Engineering,3290000
Q2-2102,Customer Support,1640000
Q3-2102,Marketing,3400000
Q3-2102,Sales,3530000
Q3-2102,Engineering,3300000
Q3-2102,Customer Support,1645000
Q4-2102,Marketing,3410000
Q4-2102,Sales,3540000
Q4-2102,Engineering,3310000
Q4-2102,Customer Support,1650000
Q1-2103,Marketing,3420000
Q1-2103,Sales,3550000
Q1-2103,Engineering,3320000
Q1-2103,Customer Support,1655000
Q2-2103,Marketing,3430000
Q2-2103,Sales,3560000
Q2-2103,Engineering,3330000
Q2-2103,Customer Support,1660000
Q3-2103,Marketing,3440000
Q3-2103,Sales,3570000
Q3-2103,Engineering,3340000
Q3-2103,Customer Support,1665000
Q4-2103,Marketing,3450000
Q4-2103,Sales,3580000
Q4-2103,Engineering,3350000
Q4-2103,Customer Support,1670000
Q1-2104,Marketing,3460000
Q1-2104,Sales,3590000
Q1-2104,Engineering,3360000
Q1-2104,Customer Support,1675000
Q2-2104,Marketing,3470000
Q2-2104,Sales,3600000
Q2-2104,Engineering,3370000
Q2-2104,Customer Support,1680000
Q3-2104,Marketing,3480000
Q3-2104,Sales,3610000
Q3-2104,Engineering,3380000
Q3-2104,Customer Support,1685000
Q4-2022,Engineering,N/A
Q4-2022,Sales,50000000
Q3-2022,Marketing,-50000
Q4-2022,Engineering,1990000
Q4-2022,Sales,3000000
Q4-2022,Marketing,200000
Q3-2022,Sales,10000000
